accession_code,accession,lga,pot_id,pot,reading,plant_id,week,trait,trait_label,value,pvfta1
1,Kura1,Kura,1a,a,1,1a-r1,2,LB,Leaf breadth (cm),5,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,2,LL,Leaf length (cm),9.5,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,2,NB,Number of branches,1,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,2,NL,Number of leaves,23,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,2,PH,Plant height (cm),27.7,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,2,SD,Stem diameter,NA,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,3,LB,Leaf breadth (cm),5.2,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,3,LL,Leaf length (cm),9.6,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,3,NB,Number of branches,2,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,3,NL,Number of leaves,35,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,3,PH,Plant height (cm),42,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,3,SD,Stem diameter,NA,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,4,LB,Leaf breadth (cm),5,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,4,LL,Leaf length (cm),9.8,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,4,NB,Number of branches,2,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,4,NL,Number of leaves,34,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,4,PH,Plant height (cm),59.5,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,4,SD,Stem diameter,0.5,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,5,LB,Leaf breadth (cm),5.8,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,5,LL,Leaf length (cm),10,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,5,NB,Number of branches,3,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,5,NL,Number of leaves,58,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,5,PH,Plant height (cm),75,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,5,SD,Stem diameter,0.45,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,6,LB,Leaf breadth (cm),5,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,6,LL,Leaf length (cm),10.2,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,6,NB,Number of branches,3,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,6,NL,Number of leaves,50,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,6,PH,Plant height (cm),162,Not genotyped
1,Kura1,Kura,1a,a,1,1a-r1,6,SD,Stem diameter,0.45,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,2,LB,Leaf breadth (cm),4.7,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,2,LL,Leaf length (cm),7,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,2,NB,Number of branches,3,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,2,NL,Number of leaves,49,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,2,PH,Plant height (cm),120,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,2,SD,Stem diameter,NA,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,3,LB,Leaf breadth (cm),6.5,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,3,LL,Leaf length (cm),9.5,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,3,NB,Number of branches,3,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,3,NL,Number of leaves,66,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,3,PH,Plant height (cm),160,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,3,SD,Stem diameter,3.7,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,4,LB,Leaf breadth (cm),6.5,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,4,LL,Leaf length (cm),10.4,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,4,NB,Number of branches,3,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,4,NL,Number of leaves,93,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,4,PH,Plant height (cm),234,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,4,SD,Stem diameter,3.6,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,5,LB,Leaf breadth (cm),6.1,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,5,LL,Leaf length (cm),9.4,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,5,NB,Number of branches,3,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,5,NL,Number of leaves,80,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,5,PH,Plant height (cm),234,Not genotyped
