accession_code,accession,pvfta1,dtff,dt50,category,flowering_lag
3,Kumbotso3,Amplified,28,38,Early,10
19,Yankaba19,Amplified,30,38,Early,8
1,Kura1,Not genotyped,32,38,Early,6
18,Dawaki18,Not genotyped,32,38,Early,6
6,Bichi6,Not genotyped,33,38,Early,5
7,Sumailia7,Not genotyped,34,39,Early,5
11,Dawakin11,Not genotyped,35,38,Early,3
14,Kwanar14,Not genotyped,35,38,Early,3
2,Danhassan2,Amplified,36,42,Intermediate,6
8,Gani8,Amplified,36,38,Early,2
9,Rano9,Not genotyped,36,38,Early,2
20,Sabuwar20,Not genotyped,36,38,Early,2
5,Danzabura5,Not genotyped,37,45,Intermediate,8
16,Darki16,Not genotyped,42,47,Late,5
10,Ruwan10,Not genotyped,45,47,Late,2
12,Dawanao12,Amplified,46,51,Late,5
