accession_code,accession,pvfta1,dtff,dt50,category,flowering_lag,PH,NL,NB,LL,LB,SD
3,Kumbotso3,Amplified,28,38,Early,10,136.83333333333334,54.333333333333336,1.75,9.366666666666667,5.533333333333333,1.5566666666666666
19,Yankaba19,Amplified,30,38,Early,8,263.6666666666667,145.33333333333334,2.6666666666666665,10.25,6.166666666666667,2.6833333333333336
1,Kura1,Not genotyped,32,38,Early,6,169.25,55.5,3.3333333333333335,8.325,5.2625,2.0875
18,Dawaki18,Not genotyped,32,38,Early,6,251,80,1,10.6,6.85,2.225
6,Bichi6,Not genotyped,33,38,Early,5,117.125,40.75,2.5,7.3,5.7625,2.1425
7,Sumailia7,Not genotyped,34,39,Early,5,112.66666666666666,38.333333333333336,0.5,7.533333333333333,5.266666666666667,1.5999999999999999
11,Dawakin11,Not genotyped,35,38,Early,3,232.96666666666667,95.66666666666667,2,8.633333333333333,6.2,2.65
14,Kwanar14,Not genotyped,35,38,Early,3,111.25,71.5,1.6666666666666665,7.5,5.55,2.135
2,Danhassan2,Amplified,36,42,Intermediate,6,101.5,61.5,3,8.55,5.85,2.1550000000000002
8,Gani8,Amplified,36,38,Early,2,194.53333333333333,136.33333333333334,2.3333333333333335,7.4,5.6,2.65
9,Rano9,Not genotyped,36,38,Early,2,113.35,73.5,2,10.966666666666667,5.85,2.15
20,Sabuwar20,Not genotyped,36,38,Early,2,129.2,93,1.75,9.8,6.775,2.1025
5,Danzabura5,Not genotyped,37,45,Intermediate,8,193.5,78.5,1,8.95,6,1.6333333333333333
16,Darki16,Not genotyped,42,47,Late,5,214,115.33333333333333,3,10.566666666666666,6.633333333333334,2.683333333333333
10,Ruwan10,Not genotyped,45,47,Late,2,113.7,61,1.5,10.966666666666667,5.6,2.2
12,Dawanao12,Amplified,46,51,Late,5,251.70000000000002,139.66666666666666,4.333333333333333,9.466666666666667,6.433333333333334,2.7333333333333334
