accession_code,accession,lga,pot_id,pot,reading,plant_id,pvfta1,LB,LL,NB,NL,PH,SD
1,Kura1,Kura,1a,a,1,1a-r1,Not genotyped,5,10.2,3,50,162,0.45
1,Kura1,Kura,1a,a,2,1a-r2,Not genotyped,5.95,8.5,3,68,234,3.6
1,Kura1,Kura,1b,b,1,1b-r1,Not genotyped,5,8,NA,50,27,0.5
1,Kura1,Kura,1b,b,2,1b-r2,Not genotyped,5.1,6.6,4,54,254,3.8
2,Danhassan2,Kura,2a,a,1,2a-r1,Amplified,4.3,6.4,NA,32,30,0.52
2,Danhassan2,Kura,2a,a,2,2a-r2,Amplified,7,10,2,42,133,3.5
2,Danhassan2,Kura,2b,b,1,2b-r1,Amplified,5.9,9,3,88,103,0.65
2,Danhassan2,Kura,2b,b,2,2b-r2,Amplified,6.2,8.8,4,84,140,3.95
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,Amplified,5.6,7.9,2,80,130,0.46
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,Amplified,NA,NA,0,NA,NA,NA
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,Amplified,5.7,8.3,2,40,66,0.61
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,Amplified,5.3,11.9,3,43,214.5,3.6
4,Garu4,Kumbotso,4a,a,1,4a-r1,Not genotyped,NA,NA,2,78,205,0.5
4,Garu4,Kumbotso,4a,a,2,4a-r2,Not genotyped,NA,NA,0,NA,NA,NA
4,Garu4,Kumbotso,4b,b,1,4b-r1,Not genotyped,5.4,8,3,49,43,0.6
4,Garu4,Kumbotso,4b,b,2,4b-r2,Not genotyped,7.1,8.2,4,109,153.9,3.8
5,Danzabura5,Bichi,5a,a,1,5a-r1,Not genotyped,6,10.7,1,51,199,0.55
5,Danzabura5,Bichi,5a,a,2,5a-r2,Not genotyped,6,7.2,2,106,188,3.8
5,Danzabura5,Bichi,5b,b,1,5b-r1,Not genotyped,NA,NA,NA,NA,NA,0.55
5,Danzabura5,Bichi,5b,b,2,5b-r2,Not genotyped,NA,NA,0,NA,NA,NA
