Cultivar_Replicate,Reps,Local Gov ,Market,Wk2PH,Wk2NL,Wk2NB,Wk2LL,Wk2LB,Wk2SD,Wk3PH,Wk3NL,Wk3NB,Wk3LL,Wk3LB,Wk3SD,Wk4PH,Wk4NL,Wk4NB,Wk4LL,Wk4LB,Wk4SD,Wk5PH,Wk5NL,Wk5NB,Wk5LL,Wk5LB,Wk5SD,Wk6PH,Wk6NL,Wk6NB,Wk6LL,Wk6LB,Wk6SD,Days_To_First_Flowering,Days_To_50%_Flowering,Flowring Category early(38-40) intermediate(41-45) late(46-51),Number of Pods,Pod Height(cm),Pod weight/pod,Average pod weight,Number of seeds,Seed weight,Average seed weight,Seed color
1a,1,Kura Local Gov Kano,Kura Market,27.7,23,1,9.5,5,,42,35,2,9.6,5.2,,59.5,34,2,9.8,5,0.5,75,58,3,10,5.8,0.45,162,50,3,10.2,5,0.45,32,38,Early,,,,,,,,
1b,,Kura Local Gov Kano,Kura Market,20.3,23,,7.9,4.4,,24,28,,8,4.9,,38.6,29,,8.2,5.1,0.45,26,42,,8.2,5.1,0.5,27,50,,8,5,0.5,32,38,Early,,,,,,,,
2a,2,Kura Local Gov Kano,Dan hassan market,22.2,20,,7.3,4.9,,24,23,,8.9,5.6,,35.1,25,,8.9,6.1,0.5,35,20,,6,4,0.51,30,32,,6.4,4.3,0.52,36,42,Intermediate ,,,,,,,,
2b,,Kura Local Gov Kano,Dan hassan market,25.4,22,2,12.4,5.3,,26,26,2,12.5,6,,62.1,36,2,12.5,6.2,0.5,26,89,3,9.8,6,0.65,103,88,3,9,5.9,0.65,36,42,Intermediate ,,,,,,,,
3a,3,Kumbotso Local Gov Kano,Kumbotso Market,25.6,25,2,9.3,4.7,,72,38,1,9.3,6.8,,149,45,2,9.5,6.8,0.55,158,89,2,7.6,6.5,0.45,130,80,2,7.9,5.6,0.46,28,38,Early,3,"13,10,5.8","1.563,0.974,0.89",1.14,"6,5,1","6(0.27,0.27,0.27,0.87,0.50,0.29) 5(0.24,0.23.0.117,0.23,0.2) 1(0.14)","0.411,0.20,0.14",Brown
3b,,Kumbotso Local Gov Kano,Kumbotso Market,15.4,29,2,7.9,4.7,,69.2,32,2,10.3,5.9,,69.8,34,3,10.5,6.3,0.5,60,38,2,8.3,5.5,0.6,66,40,2,8.3,5.7,0.61,28,38,Early,,,,,,,,
4a,4,Kumbotso Local Gov Kano,Garu Market,30,26,2,8.3,6.8,,63,42,2,9.8,8.1,,112.1,60,2,10.4,8.5,0.6,203,69,2,,,0.5,205,78,2,,,0.5,,,,,,,,,,,
4b,,Kumbotso Local Gov Kano,Garu Market,22.3,18,2,6.5,3.1,,23,20,2,6.9,3.4,,24.1,35,3,7,4,0.5,44,40,3,8,5,0.6,43,49,3,8,5.4,0.6,,,,,,,,,,,
5a,5,Bichi Local Gov Kano,Danzabura Market,26.1,26,,9.4,4.7,,40.1,32,2,10.2,7.2,,178,50,2,10.5,8,0.51,197,47,1,10.5,6,0.51,199,51,1,10.7,6,0.55,37,45,Intermediate ,1,6.5,0.462,0.46,2,"2(0.223,0.149)",0.186,Brown
5b,,Bichi Local Gov Kano,Danzabura Market,20.8,20,2,6.3,4.1,,23.1,21,2,7.3,4.3,,39.9,22,2,7.8,,0.5,,,,,,0.5,,,,,,0.55,37,45,Intermediate ,,,,,,,,
6a,6,Bichi Local Gov Kano,Bichi Market,24,13,,8.4,3.6,,26.5,13,,7.9,3.8,,27,14,,8,4.3,0.5,36,27,1,8,3.7,0.55,36,36,1,8.2,3.9,0.55,33,38,Early,,,,,,,,
6b,,Bichi Local Gov Kano,Bichi Market,26.4,14,2,7.3,4.7,,27,24,2,9,6,,27.3,24,3,10.2,6.2,0.5,28,25,3,7.5,5.5,0.5,29.5,36,3,7,5.4,0.52,33,38,Early,,,,,,,,
7a,7,Samalia Local Gov,Sumailia Market,20.1,13,,4.6,2.9,,22,17,,5.9,3.2,,24.1,23,,8.5,4.3,0.45,41,32,1,9,5.4,0.5,52,28,1,8.6,5.8,0.55,34,39,Early,,,,,,,,
7b,,Samalia Local Gov,Sumailia Market,16.6,21,,6.4,4.2,,18,23,,7.8,4.2,,22.3,25,,8,4.6,0.46,24,73,1,7,4.4,0.6,26,79,1,8.1,4.4,0.6,34,39,Early,,,,,,,,
8a,8,Samalia Local Gov,Gani Market,23.4,26,1,8.5,4.3,,28,31,,9,4.5,,30.3,53,2,10,5.3,0.45,31,102,2,8.5,5.5,0.45,40,94,2,6,5.3,0.45,36,38,Early,3,"4.3,6.2,8","0.399,0.405,0.390",0.4,"3,3,5","3(0.15,0.11,0.49) 3(0.04,0.06,0.1) 5(0.104, 0.098, 0.112, 0.107, 0.109)","0.25,0.11",Brown
