trait,trait_label,model,term,df,sumsq,meansq,statistic,p.value
PH,Plant height (cm),naive,accession,19,178653.48137096773,9402.8148089983,0.6719856930619442,0.8241673411495544
PH,Plant height (cm),naive,Residuals,42,587688.4375,13992.581845238095,NA,NA
PH,Plant height (cm),adjusted,accession,19,178653.48137096773,9402.8148089983,1.7200845367012552,0.0726123079486156
PH,Plant height (cm),adjusted,reading,1,363562.5884831464,363562.5884831464,66.50757238933248,4.06186229963078e-10
PH,Plant height (cm),adjusted,Residuals,41,224125.84901685372,5466.484122362286,NA,NA
NL,Number of leaves,naive,accession,19,56471.59408602152,2972.1891624221853,1.35773107549339,0.2008893690944085
NL,Number of leaves,naive,Residuals,42,91941.58333333331,2189.085317460317,NA,NA
NL,Number of leaves,adjusted,accession,19,56471.59408602152,2972.1891624221853,1.7049498397325842,0.07590714572339641
NL,Number of leaves,adjusted,reading,1,20467.483146067432,20467.483146067432,11.740851676203045,0.0014028418506147695
NL,Number of leaves,adjusted,Residuals,41,71474.10018726587,1743.2707362747772,NA,NA
NB,Number of branches,naive,accession,19,51.63725490196075,2.7177502579979342,1.7668444115201005,0.056827865365097444
NB,Number of branches,naive,Residuals,48,73.83333333333339,1.5381944444444455,NA,NA
NB,Number of branches,adjusted,accession,19,51.63725490196075,2.7177502579979342,1.730700135468438,0.06448179201855045
NB,Number of branches,adjusted,reading,1,0.028368794326240794,0.028368794326240794,0.018065632056887295,0.893653530183004
NB,Number of branches,adjusted,Residuals,47,73.80496453900713,1.5703183944469603,NA,NA
LL,Leaf length (cm),naive,accession,19,81.5153005464481,4.290278976128848,0.9158353246508993,0.5685130483341839
LL,Leaf length (cm),naive,Residuals,41,192.06666666666672,4.684552845528456,NA,NA
LL,Leaf length (cm),adjusted,accession,19,81.5153005464481,4.290278976128848,1.0840032321956576,0.40097899855007196
LL,Leaf length (cm),adjusted,reading,1,33.754261363636346,33.754261363636346,8.528519618920912,0.005720138147327819
LL,Leaf length (cm),adjusted,Residuals,40,158.3124053030304,3.95781013257576,NA,NA
LB,Leaf breadth (cm),naive,accession,19,21.212015027322423,1.1164218435432853,1.0165725202855616,0.46423502175372316
LB,Leaf breadth (cm),naive,Residuals,41,45.02708333333336,1.0982215447154478,NA,NA
LB,Leaf breadth (cm),adjusted,accession,19,21.212015027322423,1.1164218435432853,1.3571096007110606,0.20390952130898754
LB,Leaf breadth (cm),adjusted,reading,1,12.12121212121213,12.12121212121213,14.734406566019933,4.309925497657892e-4
LB,Leaf breadth (cm),adjusted,Residuals,40,32.90587121212122,0.8226467803030305,NA,NA
SD,Stem diameter,naive,accession,19,7.860332936507933,0.41370173350041756,0.11638673751507336,0.9999970292261195
SD,Stem diameter,naive,Residuals,43,152.845375,3.5545436046511627,NA,NA
SD,Stem diameter,adjusted,accession,19,7.860332936507933,0.41370173350041756,31.94302369316151,4.95792992966652e-19
SD,Stem diameter,adjusted,reading,1,152.30142296296302,152.30142296296302,11759.602554827656,4.633870773051985e-53
SD,Stem diameter,adjusted,Residuals,42,0.5439520370370369,0.012951238977072307,NA,NA
