trait,trait_label,model,accession,mean,duncan_group
LB,Leaf breadth (cm),adjusted,Round13,7.9,a
LB,Leaf breadth (cm),adjusted,Dawaki18,6.85,ab
LB,Leaf breadth (cm),adjusted,Sabuwar20,6.775,ab
LB,Leaf breadth (cm),adjusted,Darki16,6.633333333333334,ab
LB,Leaf breadth (cm),adjusted,Lahadin17,6.55,ab
LB,Leaf breadth (cm),adjusted,Dawanao12,6.433333333333334,ab
LB,Leaf breadth (cm),adjusted,Garu4,6.25,ab
LB,Leaf breadth (cm),adjusted,Dawakin11,6.2,ab
LB,Leaf breadth (cm),adjusted,Wudil15,6.175,ab
LB,Leaf breadth (cm),adjusted,Yankaba19,6.166666666666667,ab
LB,Leaf breadth (cm),adjusted,Danzabura5,6,b
LB,Leaf breadth (cm),adjusted,Danhassan2,5.85,b
LB,Leaf breadth (cm),adjusted,Rano9,5.85,b
LB,Leaf breadth (cm),adjusted,Bichi6,5.7625,b
LB,Leaf breadth (cm),adjusted,Gani8,5.6,b
LB,Leaf breadth (cm),adjusted,Ruwan10,5.6,b
LB,Leaf breadth (cm),adjusted,Kwanar14,5.55,b
LB,Leaf breadth (cm),adjusted,Kumbotso3,5.533333333333333,b
LB,Leaf breadth (cm),adjusted,Sumailia7,5.266666666666667,b
LB,Leaf breadth (cm),adjusted,Kura1,5.2625,b
LB,Leaf breadth (cm),naive,Round13,7.9,a
LB,Leaf breadth (cm),naive,Dawaki18,6.85,ab
LB,Leaf breadth (cm),naive,Sabuwar20,6.775,ab
LB,Leaf breadth (cm),naive,Darki16,6.633333333333334,ab
LB,Leaf breadth (cm),naive,Lahadin17,6.55,ab
LB,Leaf breadth (cm),naive,Dawanao12,6.433333333333334,ab
LB,Leaf breadth (cm),naive,Garu4,6.25,ab
LB,Leaf breadth (cm),naive,Dawakin11,6.2,ab
LB,Leaf breadth (cm),naive,Wudil15,6.175,ab
LB,Leaf breadth (cm),naive,Yankaba19,6.166666666666667,ab
LB,Leaf breadth (cm),naive,Danzabura5,6,ab
LB,Leaf breadth (cm),naive,Danhassan2,5.85,ab
LB,Leaf breadth (cm),naive,Rano9,5.85,ab
LB,Leaf breadth (cm),naive,Bichi6,5.7625,b
LB,Leaf breadth (cm),naive,Gani8,5.6,b
LB,Leaf breadth (cm),naive,Ruwan10,5.6,b
LB,Leaf breadth (cm),naive,Kwanar14,5.55,b
LB,Leaf breadth (cm),naive,Kumbotso3,5.533333333333333,b
LB,Leaf breadth (cm),naive,Sumailia7,5.266666666666667,b
LB,Leaf breadth (cm),naive,Kura1,5.2625,b
LL,Leaf length (cm),adjusted,Rano9,10.966666666666667,a
LL,Leaf length (cm),adjusted,Ruwan10,10.966666666666667,a
LL,Leaf length (cm),adjusted,Dawaki18,10.6,a
LL,Leaf length (cm),adjusted,Darki16,10.566666666666666,a
LL,Leaf length (cm),adjusted,Yankaba19,10.25,a
LL,Leaf length (cm),adjusted,Sabuwar20,9.8,a
LL,Leaf length (cm),adjusted,Lahadin17,9.475,a
LL,Leaf length (cm),adjusted,Dawanao12,9.466666666666667,a
LL,Leaf length (cm),adjusted,Kumbotso3,9.366666666666667,a
LL,Leaf length (cm),adjusted,Danzabura5,8.95,a
LL,Leaf length (cm),adjusted,Dawakin11,8.633333333333333,a
LL,Leaf length (cm),adjusted,Wudil15,8.6,a
LL,Leaf length (cm),adjusted,Danhassan2,8.55,a
LL,Leaf length (cm),adjusted,Round13,8.45,a
LL,Leaf length (cm),adjusted,Kura1,8.325,a
LL,Leaf length (cm),adjusted,Garu4,8.1,a
LL,Leaf length (cm),adjusted,Sumailia7,7.533333333333333,a
LL,Leaf length (cm),adjusted,Kwanar14,7.5,a
LL,Leaf length (cm),adjusted,Gani8,7.4,a
LL,Leaf length (cm),adjusted,Bichi6,7.3,a
LL,Leaf length (cm),naive,Rano9,10.966666666666667,a
LL,Leaf length (cm),naive,Ruwan10,10.966666666666667,a
LL,Leaf length (cm),naive,Dawaki18,10.6,a
LL,Leaf length (cm),naive,Darki16,10.566666666666666,a
LL,Leaf length (cm),naive,Yankaba19,10.25,a
LL,Leaf length (cm),naive,Sabuwar20,9.8,a
LL,Leaf length (cm),naive,Lahadin17,9.475,a
LL,Leaf length (cm),naive,Dawanao12,9.466666666666667,a
LL,Leaf length (cm),naive,Kumbotso3,9.366666666666667,a
LL,Leaf length (cm),naive,Danzabura5,8.95,a
LL,Leaf length (cm),naive,Dawakin11,8.633333333333333,a
LL,Leaf length (cm),naive,Wudil15,8.6,a
LL,Leaf length (cm),naive,Danhassan2,8.55,a
LL,Leaf length (cm),naive,Round13,8.45,a
LL,Leaf length (cm),naive,Kura1,8.325,a
LL,Leaf length (cm),naive,Garu4,8.1,a
LL,Leaf length (cm),naive,Sumailia7,7.533333333333333,a
LL,Leaf length (cm),naive,Kwanar14,7.5,a
LL,Leaf length (cm),naive,Gani8,7.4,a
LL,Leaf length (cm),naive,Bichi6,7.3,a
NB,Number of branches,adjusted,Dawanao12,4.333333333333333,a
NB,Number of branches,adjusted,Kura1,3.3333333333333335,ab
NB,Number of branches,adjusted,Danhassan2,3,ab
NB,Number of branches,adjusted,Darki16,3,ab
NB,Number of branches,adjusted,Yankaba19,2.6666666666666665,abc
NB,Number of branches,adjusted,Bichi6,2.5,abc
NB,Number of branches,adjusted,Wudil15,2.5,abc
NB,Number of branches,adjusted,Gani8,2.3333333333333335,abc
NB,Number of branches,adjusted,Garu4,2.25,abc
NB,Number of branches,adjusted,Lahadin17,2.25,abc
NB,Number of branches,adjusted,Dawakin11,2,bc
NB,Number of branches,adjusted,Rano9,2,bc
NB,Number of branches,adjusted,Kumbotso3,1.75,bc
NB,Number of branches,adjusted,Sabuwar20,1.75,bc
NB,Number of branches,adjusted,Kwanar14,1.6666666666666665,bc
NB,Number of branches,adjusted,Ruwan10,1.5,bc
NB,Number of branches,adjusted,Danzabura5,1,bc
NB,Number of branches,adjusted,Dawaki18,1,bc
NB,Number of branches,adjusted,Round13,1,bc
NB,Number of branches,adjusted,Sumailia7,0.5,c
NB,Number of branches,naive,Dawanao12,4.333333333333333,a
NB,Number of branches,naive,Kura1,3.3333333333333335,ab
NB,Number of branches,naive,Danhassan2,3,ab
NB,Number of branches,naive,Darki16,3,ab
NB,Number of branches,naive,Yankaba19,2.6666666666666665,abc
NB,Number of branches,naive,Bichi6,2.5,abc
NB,Number of branches,naive,Wudil15,2.5,abc
NB,Number of branches,naive,Gani8,2.3333333333333335,abc
NB,Number of branches,naive,Garu4,2.25,abc
NB,Number of branches,naive,Lahadin17,2.25,abc
NB,Number of branches,naive,Dawakin11,2,bc
NB,Number of branches,naive,Rano9,2,bc
NB,Number of branches,naive,Kumbotso3,1.75,bc
NB,Number of branches,naive,Sabuwar20,1.75,bc
NB,Number of branches,naive,Kwanar14,1.6666666666666665,bc
NB,Number of branches,naive,Ruwan10,1.5,bc
NB,Number of branches,naive,Danzabura5,1,bc
NB,Number of branches,naive,Dawaki18,1,bc
NB,Number of branches,naive,Round13,1,bc
NB,Number of branches,naive,Sumailia7,0.5,c
NL,Number of leaves,adjusted,Yankaba19,145.33333333333334,a
NL,Number of leaves,adjusted,Dawanao12,139.66666666666666,ab
NL,Number of leaves,adjusted,Gani8,136.33333333333334,abc
NL,Number of leaves,adjusted,Darki16,115.33333333333333,abcd
NL,Number of leaves,adjusted,Dawakin11,95.66666666666667,abcd
NL,Number of leaves,adjusted,Lahadin17,93.5,abcd
NL,Number of leaves,adjusted,Round13,93,abcd
NL,Number of leaves,adjusted,Sabuwar20,93,abcd
NL,Number of leaves,adjusted,Wudil15,81.5,abcd
NL,Number of leaves,adjusted,Dawaki18,80,abcd
NL,Number of leaves,adjusted,Garu4,78.66666666666667,abcd
NL,Number of leaves,adjusted,Danzabura5,78.5,abcd
NL,Number of leaves,adjusted,Rano9,73.5,abcd
NL,Number of leaves,adjusted,Kwanar14,71.5,abcd
NL,Number of leaves,adjusted,Danhassan2,61.5,abcd
NL,Number of leaves,adjusted,Ruwan10,61,abcd
NL,Number of leaves,adjusted,Kura1,55.5,bcd
NL,Number of leaves,adjusted,Kumbotso3,54.333333333333336,cd
NL,Number of leaves,adjusted,Bichi6,40.75,d
NL,Number of leaves,adjusted,Sumailia7,38.333333333333336,d
NL,Number of leaves,naive,Yankaba19,145.33333333333334,a
NL,Number of leaves,naive,Dawanao12,139.66666666666666,a
NL,Number of leaves,naive,Gani8,136.33333333333334,a
NL,Number of leaves,naive,Darki16,115.33333333333333,ab
NL,Number of leaves,naive,Dawakin11,95.66666666666667,ab
NL,Number of leaves,naive,Lahadin17,93.5,ab
NL,Number of leaves,naive,Round13,93,ab
NL,Number of leaves,naive,Sabuwar20,93,ab
NL,Number of leaves,naive,Wudil15,81.5,ab
