accession,dtff,pvfta1,alpha
Kumbotso3,28,Amplified,0.06467883149905024
Yankaba19,30,Amplified,0.06264258652417508
Kura1,32,Not genotyped,0.06089956398215273
Dawaki18,32,Not genotyped,0.06089956398215273
Bichi6,33,Not genotyped,0.06012103939285119
Sumailia7,34,Not genotyped,0.05939704785321564
Dawakin11,35,Not genotyped,0.0587227928258817
Kwanar14,35,Not genotyped,0.0587227928258817
Danhassan2,36,Amplified,0.05809400928799779
Gani8,36,Amplified,0.05809400928799779
Rano9,36,Not genotyped,0.05809400928799779
Sabuwar20,36,Not genotyped,0.05809400928799779
Danzabura5,37,Not genotyped,0.057506892041868464
Darki16,42,Not genotyped,0.05508842357729976
Ruwan10,45,Not genotyped,0.053964681475553423
Dawanao12,46,Amplified,0.053633388091795686
